1.000000,0.499967,0.499990,0.559444,0.530000
2.000000,0.499953,0.499978,0.582222,0.540000
3.000000,0.499939,0.499966,0.598889,0.540000
4.000000,0.499925,0.499954,0.622222,0.555000
5.000000,0.499910,0.499942,0.637778,0.590000
6.000000,0.499895,0.499929,0.656667,0.605000
7.000000,0.499881,0.499917,0.670556,0.635000
8.000000,0.499866,0.499904,0.687778,0.640000
9.000000,0.499850,0.499891,0.700000,0.640000
10.000000,0.499835,0.499878,0.706667,0.640000
11.000000,0.499819,0.499865,0.716667,0.640000
12.000000,0.499802,0.499851,0.723333,0.645000
13.000000,0.499786,0.499837,0.735000,0.655000
14.000000,0.499769,0.499823,0.739444,0.670000
15.000000,0.499751,0.499808,0.750000,0.670000
16.000000,0.499734,0.499793,0.758333,0.670000
17.000000,0.499715,0.499778,0.762222,0.675000
18.000000,0.499697,0.499762,0.765556,0.700000
19.000000,0.499677,0.499746,0.769444,0.715000
20.000000,0.499657,0.499729,0.774444,0.725000
21.000000,0.499637,0.499712,0.778889,0.740000
22.000000,0.499616,0.499694,0.785000,0.755000
23.000000,0.499594,0.499676,0.790556,0.760000
24.000000,0.499572,0.499657,0.793889,0.755000
25.000000,0.499549,0.499637,0.797222,0.765000
26.000000,0.499525,0.499617,0.805556,0.775000
27.000000,0.499500,0.499595,0.809444,0.775000
28.000000,0.499474,0.499574,0.814444,0.775000
29.000000,0.499447,0.499551,0.817222,0.775000
30.000000,0.499420,0.499527,0.815556,0.780000
31.000000,0.499391,0.499502,0.817778,0.780000
32.000000,0.499361,0.499477,0.818333,0.780000
33.000000,0.499330,0.499450,0.817778,0.785000
34.000000,0.499297,0.499422,0.820556,0.790000
35.000000,0.499263,0.499393,0.821111,0.800000
36.000000,0.499228,0.499362,0.825000,0.805000
37.000000,0.499191,0.499330,0.825556,0.810000
38.000000,0.499153,0.499297,0.826667,0.815000
39.000000,0.499113,0.499262,0.826667,0.820000
40.000000,0.499071,0.499225,0.828333,0.825000
41.000000,0.499027,0.499187,0.827222,0.825000
42.000000,0.498981,0.499147,0.829444,0.820000
43.000000,0.498932,0.499104,0.830000,0.815000
44.000000,0.498882,0.499060,0.831667,0.815000
45.000000,0.498828,0.499014,0.834444,0.815000
46.000000,0.498772,0.498965,0.833889,0.810000
47.000000,0.498713,0.498914,0.831667,0.805000
48.000000,0.498652,0.498860,0.831667,0.800000
49.000000,0.498586,0.498802,0.833333,0.800000
50.000000,0.498518,0.498742,0.833333,0.795000
51.000000,0.498445,0.498678,0.831667,0.795000
52.000000,0.498369,0.498610,0.830556,0.790000
53.000000,0.498288,0.498539,0.831667,0.800000
54.000000,0.498203,0.498463,0.832222,0.800000
55.000000,0.498113,0.498383,0.832778,0.800000
56.000000,0.498017,0.498297,0.832778,0.795000
57.000000,0.497915,0.498207,0.831111,0.795000
58.000000,0.497808,0.498111,0.832778,0.800000
59.000000,0.497693,0.498009,0.835000,0.805000
60.000000,0.497572,0.497900,0.833333,0.800000
61.000000,0.497442,0.497784,0.835000,0.805000
62.000000,0.497304,0.497661,0.833889,0.805000
63.000000,0.497158,0.497529,0.833889,0.805000
64.000000,0.497001,0.497388,0.833889,0.805000
65.000000,0.496833,0.497237,0.833333,0.805000
66.000000,0.496653,0.497075,0.833333,0.800000
67.000000,0.496461,0.496902,0.833333,0.800000
68.000000,0.496255,0.496716,0.833333,0.795000
69.000000,0.496034,0.496516,0.832222,0.800000
70.000000,0.495796,0.496301,0.830000,0.810000
71.000000,0.495541,0.496069,0.827222,0.820000
72.000000,0.495265,0.495819,0.826667,0.825000
73.000000,0.494968,0.495549,0.826667,0.825000
74.000000,0.494648,0.495257,0.826667,0.825000
75.000000,0.494301,0.494940,0.826667,0.825000
76.000000,0.493925,0.494597,0.825556,0.830000
77.000000,0.493517,0.494224,0.824444,0.830000
78.000000,0.493075,0.493818,0.824444,0.835000
79.000000,0.492593,0.493376,0.823333,0.835000
80.000000,0.492069,0.492895,0.821667,0.835000
81.000000,0.491497,0.492369,0.822778,0.835000
82.000000,0.490871,0.491794,0.823333,0.840000
